"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"163","Ursus americanus","Animalia","Mammalia","Carnivora","3412","Ursus americanus","Ursidae","accepted name","Ursus","Ursus americanus"
"164","Enhydra lutris","Animalia","Mammalia","Carnivora","2843","Enhydra lutris","Mustelidae","accepted name","Enhydra","Animalia"
"165","Haliaeetus leucocephalus","Animalia","Aves","Accipitriformes","2843","Haliaeetus leucocephalus","Accipitridae","accepted name","Haliaeetus","Animalia"
"166","Larus glaucescens","Animalia","Aves","Charadriiformes","2843","Larus glaucescens","Laridae","accepted name","Larus","Animalia"
"167","Aptocyclus ventricosus","Animalia","Actinopterygii","Scorpaeniformes","2843","Aptocyclus ventricosus","Cyclopteridae","accepted name","Aptocyclus","Animalia"
"168","Pleurogrammus monopterygius","Animalia","Actinopterygii","Scorpaeniformes","2843","Pleurogrammus monopterygius","Hexagrammidae","accepted name","Pleurogrammus","Animalia"
"169","Gulo gulo","Animalia","Mammalia","Carnivora","3328","Gulo gulo","Mustelidae","accepted name","Gulo","Gulo gulo"
"170","Gulo gulo","Animalia","Mammalia","Carnivora","2722","Gulo gulo","Mustelidae","accepted name","Gulo","Gulo gulo"
"171","Martes americana","Animalia","Mammalia","Carnivora","690","Martes americana","Mustelidae","accepted name","Martes","Martes americana"
"172","Martes americana","Animalia","Mammalia","Carnivora","3369","Martes americana","Mustelidae","accepted name","Martes","Martes americana"
"173","Martes americana","Animalia","Mammalia","Carnivora","3382","Martes americana","Mustelidae","accepted name","Martes","Animalia"
"174","Bonasa umbellus","Animalia","Aves","Galliformes","3382","Bonasa umbellus","Phasianidae","accepted name","Bonasa","Animalia"
"175","Procyon lotor","Animalia","Mammalia","Carnivora","3705","Procyon lotor","Procyonidae","accepted name","Procyon","Animalia"
"176","Canis latrans","Animalia","Mammalia","Carnivora","3705","Canis latrans","Canidae","accepted name","Canis","Animalia"
"177","Neovison vison","Animalia","Mammalia","Carnivora","3705","Neovison vison","Mustelidae","accepted name","Neovison","Animalia"
"178","Phalacrocorax auritus","Animalia","Aves","Suliformes","3705","Phalacrocorax auritus","Phalacrocoracidae","accepted name","Phalacrocorax","Animalia"
"179","Ardea herodias","Animalia","Aves","Pelecaniformes","3705","Ardea herodias","Ardeidae","accepted name","Ardea","Animalia"
"180","Haliaeetus leucocephalus","Animalia","Aves","Accipitriformes","3705","Haliaeetus leucocephalus","Accipitridae","accepted name","Haliaeetus","Animalia"
"181","Larus marinus","Animalia","Aves","Charadriiformes","3705","Larus marinus","Laridae","accepted name","Larus","Animalia"
"182","Larus argentatus","Animalia","Aves","Charadriiformes","3705","L. argentatus","Laridae","accepted name","Larus","Animalia"
"183","Lynx canadensis","Animalia","Mammalia","Carnivora","759","Lynx canadensis","Felidae","accepted name","Lynx","Lynx canadensis"
"184","Panthera onca","Animalia","Mammalia","Carnivora","3920","Panthera onca","Felidae","accepted name","Panthera","Felidae"
"185","Puma concolor","Animalia","Mammalia","Carnivora","3920","Puma concolor","Felidae","accepted name","Puma","Felidae"
"186","Canis lupus","Animalia","Mammalia","Carnivora","1466","Canis lupus","Canidae","accepted name","Canis","Mammalia"
"187","Odocoileus virginianus","Animalia","Mammalia","Artiodactyla","1466","Odocoileus virginianus","Cervidae","accepted name","Odocoileus","Mammalia"
"188","Alces alces","Animalia","Mammalia","Artiodactyla","1466","Alces alces","Cervidae","accepted name","Alces","Mammalia"
"189","Canis lupus","Animalia","Mammalia","Carnivora","2747","Canis lupus","Canidae","accepted name","Canis","Mammalia"
"190","Alces alces","Animalia","Mammalia","Artiodactyla","2747","Alces alces","Cervidae","accepted name","Alces","Mammalia"
"191","Canis lupus","Animalia","Mammalia","Carnivora","1393","Canis lupus","Canidae","accepted name","Canis","Canis lupus"
"192","Canis lupus","Animalia","Mammalia","Carnivora","1678","Canis lupus","Canidae","accepted name","Canis","Mammalia"
"193","Cervus elaphus","Animalia","Mammalia","Artiodactyla","1678","Cervus elaphus","Cervidae","accepted name","Cervus","Mammalia"
"194","Odocoileus hemionus","Animalia","Mammalia","Artiodactyla","1678","Odocoileus hemionus","Cervidae","accepted name","Odocoileus","Mammalia"
"195","Alces alces","Animalia","Mammalia","Artiodactyla","1678","Alces alces","Cervidae","accepted name","Alces","Mammalia"
"196","Bison bison","Animalia","Mammalia","Artiodactyla","1678","Bison bison","Bovidae","accepted name","Bison","Mammalia"
"197","Ovis canadensis","Animalia","Mammalia","Artiodactyla","1678","Ovis canadensis","Bovidae","accepted name","Ovis","Mammalia"
"198","Antilocapra americana","Animalia","Mammalia","Artiodactyla","1678","Antilocapra americana","Antilocapridae","accepted name","Antilocapra","Mammalia"
"199","Vulpes vulpes","Animalia","Mammalia","Carnivora","1593","Vulpes vulpes","Canidae","accepted name","Vulpes","Animalia"
"200","Bubo bubo","Animalia","Aves","Strigiformes","1593","Bubo bubo","Strigidae","accepted name","Bubo","Animalia"
"201","Vulpes vulpes","Animalia","Mammalia","Carnivora","3986","Vulpes vulpes","Canidae","accepted name","Vulpes","Animalia"
"202","Martes martes","Animalia","Mammalia","Carnivora","3986","Martes martes","Mustelidae","accepted name","Martes","Animalia"
"203","Tetrao urogallus","Animalia","Aves","Galliformes","3986","Tetrao urogallus","Phasianidae","accepted name","Tetrao","Animalia"
"204","Corvus corone","Animalia","Aves","Passeriformes","3986","Corvus corone","Corvidae","accepted name","Corvus","Animalia"
"205","Vulpes vulpes","Animalia","Mammalia","Carnivora","2486","Vulpes vulpes","Canidae","accepted name","Vulpes","Vulpes vulpes"
"206","Phocarctos hookeri","Animalia","Mammalia","Carnivora","3495","Phocarctos hookeri","Otariidae","accepted name","Phocarctos","Phocarctos hookeri"
"207","Eumetopias jubatus","Animalia","Mammalia","Carnivora","1338","Eumetopias jubatus","Otariidae","accepted name","Eumetopias","Eumetopias jubatus"
"208","Arctocephalus gazella","Animalia","Mammalia","Carnivora","543","Arctocephalus gazella","Otariidae","accepted name","Arctocephalus","Arctocephalus gazella"
"209","Phoca vitulina","Animalia","Mammalia","Carnivora","1522","Phoca vitulina","Phocidae","accepted name","Phoca","Phoca vitulina"
"210","Phoca vitulina","Animalia","Mammalia","Carnivora","1373","Phoca vitulina","Phocidae","accepted name","Phoca","Phoca vitulina"
"211","Phoca vitulina","Animalia","Mammalia","Carnivora","2799","Phoca vitulina","Phocidae","accepted name","Phoca","Phoca vitulina"
"212","Monachus monachus","Animalia","Mammalia","Carnivora","1244","Monachus monachus","Phocidae","accepted name","Monachus","Monachus monachus"
"213","Mirounga leonina","Animalia","Mammalia","Carnivora","1043","Mirounga leonina","Phocidae","accepted name","Mirounga","Mirounga leonina"
"214","Mirounga leonina","Animalia","Mammalia","Carnivora","1503","Mirounga leonina","Phocidae","accepted name","Mirounga","Mirounga leonina"
"215","Dugong dugon","Animalia","Mammalia","Sirenia","3467","Dugong dugon","Dugongidae","accepted name","Dugong","Animalia"
"216","Chelonia mydas","Animalia","Reptilia","Testudines","3467","Chelonia mydas","Cheloniidae","accepted name","Chelonia","Animalia"
"217","Galeocerdo cuvier","Animalia","Elasmobranchii","Carcharhiniformes","3467","Galeocerdo cuvier","Carcharhinidae","accepted name","Galeocerdo","Animalia"
"218","Trichechus manatus","Animalia","Mammalia","Sirenia","2980","Trichechus manatus","Trichechidae","accepted name","Trichechus","Trichechus manatus"
