"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"50","Ascaphus truei","Animalia","Amphibia","Anura","3211","Ascaphus truei","Leiopelmatidae","accepted name","Ascaphus","Ascaphus truei"
"51","Leiopelma hamiltoni","Animalia","Amphibia","Anura","4022","Leiopelma hamiltoni","Leiopelmatidae","accepted name","Leiopelma","Leiopelma"
"52","Leiopelma hamiltoni","Animalia","Amphibia","Anura","4022","L. hamiltoni","Leiopelmatidae","accepted name","Leiopelma","Leiopelma"
"53","Leiopelma pakeka","Animalia","Amphibia","Anura","2863","Leiopelma pakeka","Leiopelmatidae","accepted name","Leiopelma","Leiopelma pakeka"
"54","Rana temporaria","Animalia","Amphibia","Anura","1304","Rana temporaria","Ranidae","accepted name","Rana","Rana temporaria"
"55","Rana temporaria","Animalia","Amphibia","Anura","1673","Rana temporaria","Ranidae","accepted name","Rana","Rana temporaria"
"56","Rana sierrae","Animalia","Amphibia","Anura","4527","Rana sierrae","Ranidae","accepted name","Rana","Rana"
"57","Rana sierrae","Animalia","Amphibia","Anura","4527","R. sierrae","Ranidae","accepted name","Rana","Rana"
"58","Sooglossus sechellensis","Animalia","Amphibia","Anura","3695","Sooglossus sechellensis","Sooglossidae","accepted name","Sooglossus","Sooglossidae"
"59","Sooglossus thomasseti","Animalia","Amphibia","Anura","3695","Sooglossus thomasseti","Sooglossidae","accepted name","Sooglossus","Sooglossidae"
"60","Sooglossus thomasseti","Animalia","Amphibia","Anura","3695","S. thomasseti","Sooglossidae","accepted name","Sooglossus","Sooglossidae"
"61","Sooglossus sechellensis","Animalia","Amphibia","Anura","3695","S. sechellensis","Sooglossidae","accepted name","Sooglossus","Sooglossidae"
"62","Sechellophryne gardineri","Animalia","Amphibia","Anura","3695","Sooglossus gardineri","Sooglossidae","accepted name","Sechellophryne","Sooglossidae"
"63","Sechellophryne pipilodryas","Animalia","Amphibia","Anura","3695","Sooglossus pipilodryas","Sooglossidae","accepted name","Sechellophryne","Sooglossidae"
"64","Ambystoma cingulatum","Animalia","Amphibia","Caudata","79","Ambystoma cingulatum","Ambystomatidae","accepted name","Ambystoma","Ambystoma cingulatum"
"65","Salamandra salamandra","Animalia","Amphibia","Caudata","1354","Salamandra salamandra","Salamandridae","accepted name","Salamandra","Salamandra salamandra"
"66","Philornis downsi","Animalia","Insecta","Diptera","4131","Philornis downsi","Muscidae","accepted name","Philornis","Animalia"
"67","Camarhynchus parvulus","Animalia","Aves","Passeriformes","4131","Camarhynchus parvulus","Thraupidae","accepted name","Camarhynchus","Animalia"
"68","Certhidea olivacea","Animalia","Aves","Passeriformes","4131","Certhidea olivacea","Thraupidae","accepted name","Certhidea","Animalia"
