"","RN","Trend_01_60","Trend_02_60","Trend_05_60","Trend_01_maj","Trend_02_maj","Trend_05_maj","Trend_sig_01_60","Trend_sig_005_60","Trend_sig_01_maj","Trend_sig_005_maj","av_lmbd","loCI","upCI","se","p","N","Trend_meta_01","Trend_meta_005"
"197",1363,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.152405210638852,NA,NA,NA,NA,1,"Stable","Stable"
"198",1364,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Decline","Decline","Decline",-0.0380184338882439,-0.0474629054320467,-0.0285739623444412,NA,1.10074938273134e-07,1,"Decline","Decline"
"199",1366,"Increase","Stable","Stable","Increase","Stable","Stable","Stable","Stable","Stable","Stable",0.0122341475622908,-0.0116284525307685,0.0360967476553502,NA,0.279923360140699,1,"Stable","Stable"
"200",1367,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Decline","Decline","Decline",-0.0237498844070323,-0.0319220953641907,-0.015577673449874,NA,2.18818335092791e-05,1,"Decline","Decline"
"201",1368,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.00423876764449503,-0.0032772932550913,0.0117548285440814,NA,0.255309038123953,1,"Stable","Stable"
"202",1369,"Increase","Increase","Varied","Increase","Increase","Varied","Increase","Increase","Increase","Increase",0.0816621384845633,-0.0303730878927281,0.193697364861855,0.057161880147294,0.153115830662629,2,"Stable","Stable"
"203",1370,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Decline","Decline","Decline",-0.0476308584108572,-0.0837008590920751,-0.0115608577296392,NA,0.0214603700187527,1,"Decline","Decline"
"204",1373,"Varied","Stable","Stable","Decline","Stable","Stable","Varied","Varied","Stable","Stable",-0.0041329777430013,-0.0154128811430169,0.00714692565701428,0.00575515850749811,0.472674374038565,10,"Stable","Stable"
"205",1374,"Varied","Stable","Stable","Varied","Stable","Stable","Varied","Varied","Varied","Varied",-0.00554891603275173,-0.0229946738443013,0.0118968417787979,0.008901060401701,0.533022068625048,2,"Stable","Stable"
"206",1375,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.164204683028492,-0.274612328171231,-0.0537970378857536,NA,0.0145022693639353,1,"Decline","Decline"
"207",1376,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0880456295278589,-0.733942268366694,0.557851009310976,NA,0.333333333333448,1,"Stable","Stable"
"208",1378,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.0730709213423986,0.0337654655578965,0.112376377126901,NA,0.00228809116009133,1,"Increase","Increase"
"209",1379,"Decline","Decline","Decline","Decline","Decline","Decline","Varied","Varied","Varied","Varied",-0.0864825820540553,-0.15553430636979,-0.0174308577383206,0.0352311189697392,0.0140993808162346,2,"Decline","Decline"
"210",1380,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00405679808623519,-0.0111294625588402,0.00301586638636985,NA,0.186481686997521,1,"Stable","Stable"
"211",1383,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.000457738256458232,-0.0121991348788114,0.011283658365895,NA,0.924068557253117,1,"Stable","Stable"
"212",1387,"Stable","Stable","Stable","Stable","Stable","Stable","Decline","Decline","Decline","Decline",-0.00231215139746335,-0.00284757954837985,-0.00177672324654686,NA,6.93762316912523e-11,1,"Decline","Decline"
